RMS	centAngle	centDist	centX	centY	percentValid	ptIdx	condition	subj	offset
0.67	271.72	1.65	341.60	1108.90	1.00	22	e_0deg	e	0deg
0.42	295.66	2.22	660.21	833.53	0.94	13	e_0deg	e	0deg
0.58	285.25	2.71	785.50	602.52	0.96	4	e_0deg	e	0deg
0.61	313.76	2.34	436.32	614.94	1.00	6	e_0deg	e	0deg
0.16	284.53	2.58	274.73	1083.69	0.98	16	e_0deg	e	0deg
1.33	276.02	2.18	704.70	860.77	0.94	14	e_0deg	e	0deg
0.24	289.39	2.19	621.21	1011.06	0.96	18	e_0deg	e	0deg
0.86	271.36	2.56	843.45	759.27	0.98	10	e_0deg	e	0deg
0.36	283.35	2.79	607.45	785.96	0.94	8	e_0deg	e	0deg
0.09	277.92	3.09	904.27	676.55	0.98	5	e_0deg	e	0deg
0.48	291.90	2.42	316.88	1207.08	0.98	21	e_0deg	e	0deg
0.57	294.99	2.84	533.04	928.53	0.98	12	e_0deg	e	0deg
0.56	284.13	2.80	447.28	786.09	0.94	7	e_0deg	e	0deg
0.82	342.46	2.91	629.72	646.38	1.00	11	e_0deg	e	0deg
1.08	277.88	1.85	708.94	1138.62	0.94	24	e_0deg	e	0deg
0.17	294.62	3.46	406.84	690.82	0.98	1	e_0deg	e	0deg
0.20	286.90	2.41	783.46	1051.12	0.96	19	e_0deg	e	0deg
0.80	286.97	3.23	823.79	848.21	0.96	9	e_0deg	e	0deg
0.24	276.85	2.75	888.00	955.23	0.96	15	e_0deg	e	0deg
0.38	286.55	2.01	595.44	1154.48	1.00	23	e_0deg	e	0deg
1.10	284.78	3.34	475.49	705.33	0.98	2	e_0deg	e	0deg
0.94	285.23	2.07	923.78	1165.58	1.00	25	e_0deg	e	0deg
0.35	281.93	3.47	619.56	732.77	0.96	3	e_0deg	e	0deg
1.00	287.25	2.54	458.70	1070.46	0.92	17	e_0deg	e	0deg
0.68	286.91	2.56	957.55	1075.32	0.94	20	e_0deg	e	0deg
1.58	266.28	1.97	478.71	494.19	0.96	3	e_5deg_L	e	5deg_L
1.29	265.68	1.88	809.68	479.63	0.82	5	e_5deg_L	e	5deg_L
0.54	411.50	0.85	587.88	556.21	0.96	18	e_5deg_L	e	5deg_L
0.46	414.38	0.75	405.96	731.98	0.98	22	e_5deg_L	e	5deg_L
1.88	262.84	2.79	608.74	627.98	1.00	4	e_5deg_L	e	5deg_L
0.54	280.64	1.38	709.30	560.18	1.00	9	e_5deg_L	e	5deg_L
0.87	289.79	1.45	248.41	393.85	0.92	1	e_5deg_L	e	5deg_L
0.46	306.09	0.80	578.06	440.43	0.98	8	e_5deg_L	e	5deg_L
0.45	292.27	1.47	425.96	392.83	0.92	2	e_5deg_L	e	5deg_L
0.41	447.09	0.16	667.98	807.53	0.98	24	e_5deg_L	e	5deg_L
1.34	274.66	0.54	840.66	589.86	0.88	15	e_5deg_L	e	5deg_L
0.44	310.39	0.55	559.80	570.30	1.00	13	e_5deg_L	e	5deg_L
0.60	344.96	0.65	438.67	694.98	0.98	17	e_5deg_L	e	5deg_L
0.67	274.81	0.49	840.19	914.83	0.96	25	e_5deg_L	e	5deg_L
0.29	313.52	0.57	731.57	735.02	0.94	19	e_5deg_L	e	5deg_L
0.70	372.29	0.53	586.88	814.41	0.98	23	e_5deg_L	e	5deg_L
0.14	306.30	0.75	407.13	600.47	0.94	12	e_5deg_L	e	5deg_L
0.80	281.29	0.82	693.48	634.26	1.00	14	e_5deg_L	e	5deg_L
0.54	296.98	0.99	241.23	646.44	0.96	11	e_5deg_L	e	5deg_L
0.75	278.19	0.76	851.43	792.33	0.98	20	e_5deg_L	e	5deg_L
0.66	296.66	1.36	435.28	536.38	1.00	7	e_5deg_L	e	5deg_L
0.17	401.52	0.36	212.00	793.20	1.00	21	e_5deg_L	e	5deg_L
0.67	322.70	1.16	320.89	450.81	0.94	6	e_5deg_L	e	5deg_L
1.46	370.50	1.45	404.36	622.60	0.94	16	e_5deg_L	e	5deg_L
1.23	264.73	1.14	815.96	521.69	0.98	10	e_5deg_L	e	5deg_L
0.22	278.09	2.92	401.76	814.78	0.90	7	e_5deg_R	e	5deg_R
0.38	287.76	2.06	271.32	1160.12	1.00	21	e_5deg_R	e	5deg_R
0.36	282.66	2.33	751.60	1044.78	1.00	19	e_5deg_R	e	5deg_R
0.48	275.42	2.20	868.00	1198.52	1.00	25	e_5deg_R	e	5deg_R
0.45	294.19	2.41	831.06	1199.36	0.94	24	e_5deg_R	e	5deg_R
0.22	277.42	3.16	901.35	688.65	0.98	5	e_5deg_R	e	5deg_R
0.30	281.18	2.67	919.53	1102.90	0.98	20	e_5deg_R	e	5deg_R
1.18	291.84	1.63	601.08	1085.49	0.98	23	e_5deg_R	e	5deg_R
0.50	283.42	2.58	933.24	918.68	1.00	15	e_5deg_R	e	5deg_R
0.20	282.42	2.87	269.64	1134.38	1.00	16	e_5deg_R	e	5deg_R
0.37	281.66	3.04	769.15	830.05	0.82	9	e_5deg_R	e	5deg_R
0.20	288.22	2.52	964.48	731.78	1.00	10	e_5deg_R	e	5deg_R
0.45	286.05	2.03	593.43	991.35	0.92	18	e_5deg_R	e	5deg_R
0.31	278.65	3.54	255.43	917.04	0.94	6	e_5deg_R	e	5deg_R
0.82	279.02	3.74	597.65	781.57	0.92	3	e_5deg_R	e	5deg_R
0.19	278.08	3.53	416.00	749.25	0.96	2	e_5deg_R	e	5deg_R
1.01	281.94	3.04	438.18	995.70	1.00	12	e_5deg_R	e	5deg_R
0.16	280.71	2.83	254.24	963.02	1.00	11	e_5deg_R	e	5deg_R
0.19	279.26	2.97	579.82	822.63	0.98	8	e_5deg_R	e	5deg_R
0.33	277.73	2.83	396.84	1134.69	0.98	17	e_5deg_R	e	5deg_R
0.58	280.09	2.65	577.31	934.63	0.98	13	e_5deg_R	e	5deg_R
0.20	279.15	2.84	742.04	967.85	0.96	14	e_5deg_R	e	5deg_R
1.14	298.95	2.23	513.23	1158.49	0.94	22	e_5deg_R	e	5deg_R
1.37	268.91	3.45	655.75	740.90	0.80	4	e_5deg_R	e	5deg_R
0.66	282.58	3.54	295.28	743.02	1.00	1	e_5deg_R	e	5deg_R
3.26	186.21	2.75	-289.50	883.00	0.04	21	e_10deg_L	e	10deg_L
0.75	340.86	2.81	608.38	486.62	0.78	6	e_10deg_L	e	10deg_L
0.53	305.53	1.76	837.00	905.16	1.00	19	e_10deg_L	e	10deg_L
0.45	301.47	2.67	565.47	712.53	0.86	7	e_10deg_L	e	10deg_L
0.77	298.69	3.00	906.92	605.73	0.98	4	e_10deg_L	e	10deg_L
0.74	305.92	2.66	1093.39	692.33	0.92	10	e_10deg_L	e	10deg_L
1.23	304.21	1.07	600.61	981.33	0.92	23	e_10deg_L	e	10deg_L
1.17	313.73	2.20	420.11	764.98	0.92	11	e_10deg_L	e	10deg_L
1.55	283.53	3.61	974.23	752.31	0.96	5	e_10deg_L	e	10deg_L
0.44	306.08	2.76	437.22	538.02	0.98	1	e_10deg_L	e	10deg_L
0.98	303.41	2.39	552.48	498.92	0.96	2	e_10deg_L	e	10deg_L
1.10	314.73	1.42	499.49	1001.07	0.86	22	e_10deg_L	e	10deg_L
1.23	330.58	1.50	551.60	789.76	0.90	17	e_10deg_L	e	10deg_L
0.56	305.36	2.62	752.77	689.50	0.96	8	e_10deg_L	e	10deg_L
0.66	305.68	2.65	423.98	1024.98	0.86	16	e_10deg_L	e	10deg_L
0.73	327.46	1.74	743.88	822.25	0.96	18	e_10deg_L	e	10deg_L
1.21	301.33	1.29	945.40	1017.44	0.86	25	e_10deg_L	e	10deg_L
1.22	311.91	1.66	851.00	1038.73	0.88	24	e_10deg_L	e	10deg_L
0.55	297.91	3.34	760.20	657.96	0.90	3	e_10deg_L	e	10deg_L
0.45	296.99	2.58	862.17	883.90	0.96	14	e_10deg_L	e	10deg_L
1.03	307.14	1.67	1001.64	888.91	0.88	20	e_10deg_L	e	10deg_L
1.68	273.42	2.35	856.70	891.57	0.94	15	e_10deg_L	e	10deg_L
0.59	303.90	2.76	922.80	714.43	0.88	9	e_10deg_L	e	10deg_L
0.59	303.41	2.46	725.36	841.69	0.90	13	e_10deg_L	e	10deg_L
0.33	307.15	2.48	583.04	829.52	0.92	12	e_10deg_L	e	10deg_L
0.70	277.68	2.10	713.47	513.84	0.98	4	e_10deg_R	e	10deg_R
0.70	272.61	1.90	514.42	1149.96	0.96	23	e_10deg_R	e	10deg_R
0.97	276.37	1.99	536.76	829.37	0.98	13	e_10deg_R	e	10deg_R
0.35	279.39	2.48	400.74	907.78	1.00	12	e_10deg_R	e	10deg_R
0.66	280.08	2.36	902.23	1220.81	0.94	25	e_10deg_R	e	10deg_R
0.58	280.36	2.45	740.16	1235.16	0.88	24	e_10deg_R	e	10deg_R
0.76	283.54	3.79	981.33	1114.75	0.72	15	e_10deg_R	e	10deg_R
1.14	287.28	3.09	986.38	1158.57	0.74	20	e_10deg_R	e	10deg_R
0.36	278.71	3.26	248.92	703.28	1.00	1	e_10deg_R	e	10deg_R
0.32	281.86	2.27	410.98	536.49	0.94	2	e_10deg_R	e	10deg_R
1.41	286.34	2.39	278.86	1049.24	1.00	16	e_10deg_R	e	10deg_R
1.00	286.17	1.50	402.82	906.26	1.00	17	e_10deg_R	e	10deg_R
0.24	280.16	2.87	417.76	1304.29	1.02	22	e_10deg_R	e	10deg_R
0.66	282.20	2.72	429.14	776.47	0.98	7	e_10deg_R	e	10deg_R
0.50	285.93	2.97	302.74	809.94	1.00	6	e_10deg_R	e	10deg_R
0.90	268.43	3.14	819.02	688.98	0.88	5	e_10deg_R	e	10deg_R
0.83	279.68	2.67	574.96	1106.02	0.90	18	e_10deg_R	e	10deg_R
0.22	277.75	2.61	725.32	931.08	1.00	14	e_10deg_R	e	10deg_R
0.21	270.37	2.50	836.06	749.96	1.00	10	e_10deg_R	e	10deg_R
0.89	274.01	2.72	698.35	1118.33	0.92	19	e_10deg_R	e	10deg_R
0.21	281.57	2.92	264.33	977.27	0.96	11	e_10deg_R	e	10deg_R
0.75	278.64	3.02	742.17	830.15	0.92	9	e_10deg_R	e	10deg_R
1.21	284.91	2.40	269.63	1220.04	0.98	21	e_10deg_R	e	10deg_R
0.75	286.67	3.11	648.58	829.40	0.90	8	e_10deg_R	e	10deg_R
0.39	272.87	3.04	525.30	671.96	1.00	3	e_10deg_R	e	10deg_R
2.12	241.84	0.17	319.60	859.00	0.84	22	e_15deg_L	e	15deg_L
1.06	322.69	1.70	558.51	504.96	0.94	7	e_15deg_L	e	15deg_L
1.23	326.37	2.27	647.90	375.90	0.82	2	e_15deg_L	e	15deg_L
1.25	344.61	0.97	989.16	709.55	0.88	20	e_15deg_L	e	15deg_L
1.05	353.36	0.64	605.80	845.65	0.92	23	e_15deg_L	e	15deg_L
1.64	271.48	1.75	840.88	458.60	0.86	5	e_15deg_L	e	15deg_L
1.16	343.76	1.34	714.80	729.22	0.98	18	e_15deg_L	e	15deg_L
1.57	326.18	1.68	899.00	489.00	0.92	9	e_15deg_L	e	15deg_L
2.27	344.25	1.60	757.31	239.25	0.96	3	e_15deg_L	e	15deg_L
1.57	511.90	0.41	606.07	800.98	0.86	24	e_15deg_L	e	15deg_L
1.28	324.24	1.02	470.60	598.88	0.96	12	e_15deg_L	e	15deg_L
1.30	295.01	1.71	287.48	425.62	0.84	1	e_15deg_L	e	15deg_L
2.13	362.13	2.85	640.77	482.35	0.80	11	e_15deg_L	e	15deg_L
0.90	339.66	1.48	1064.06	918.85	0.94	25	e_15deg_L	e	15deg_L
1.62	349.41	1.38	558.75	708.79	0.96	17	e_15deg_L	e	15deg_L
1.77	270.77	1.68	670.40	946.04	0.90	19	e_15deg_L	e	15deg_L
1.68	257.82	2.55	743.74	748.40	0.86	10	e_15deg_L	e	15deg_L
1.65	320.99	2.05	432.25	548.45	0.88	6	e_15deg_L	e	15deg_L
1.17	328.60	0.80	947.80	569.87	0.92	15	e_15deg_L	e	15deg_L
1.02	340.75	1.83	454.72	933.91	0.86	21	e_15deg_L	e	15deg_L
1.84	256.96	1.41	613.50	729.63	0.92	14	e_15deg_L	e	15deg_L
0.51	325.27	2.18	798.29	706.78	0.82	13	e_15deg_L	e	15deg_L
1.15	304.34	2.22	708.62	638.69	0.84	8	e_15deg_L	e	15deg_L
1.94	378.31	0.77	288.95	626.20	0.88	16	e_15deg_L	e	15deg_L
1.70	303.40	1.53	806.96	379.44	0.90	4	e_15deg_L	e	15deg_L
0.97	299.25	1.18	596.15	505.02	0.92	8	e_15deg_R	e	15deg_R
1.79	261.72	1.86	622.07	1139.98	0.92	24	e_15deg_R	e	15deg_R
0.83	256.36	1.48	775.02	1073.63	0.98	25	e_15deg_R	e	15deg_R
0.95	226.36	2.65	528.46	819.70	0.92	15	e_15deg_R	e	15deg_R
2.11	256.20	0.93	129.67	983.93	0.84	21	e_15deg_R	e	15deg_R
0.94	283.31	2.43	926.63	727.59	0.98	10	e_15deg_R	e	15deg_R
1.99	284.84	1.84	245.18	796.43	0.88	11	e_15deg_R	e	15deg_R
0.95	252.73	2.37	382.94	543.30	1.00	3	e_15deg_R	e	15deg_R
0.75	257.27	2.13	588.43	1013.06	0.98	19	e_15deg_R	e	15deg_R
0.86	257.90	2.72	238.40	776.32	1.00	7	e_15deg_R	e	15deg_R
0.66	242.48	2.19	664.42	990.88	0.96	20	e_15deg_R	e	15deg_R
0.82	270.94	3.11	675.16	684.80	0.90	4	e_15deg_R	e	15deg_R
1.60	272.11	1.85	178.02	975.54	0.92	16	e_15deg_R	e	15deg_R
0.76	248.68	2.69	337.18	917.14	1.00	13	e_15deg_R	e	15deg_R
0.37	265.23	1.06	318.71	1008.67	0.98	22	e_15deg_R	e	15deg_R
1.07	265.21	1.09	484.75	848.50	0.88	18	e_15deg_R	e	15deg_R
1.30	268.40	3.07	152.41	677.41	0.74	1	e_15deg_R	e	15deg_R
0.89	269.17	2.57	327.09	1095.42	0.66	17	e_15deg_R	e	15deg_R
1.72	263.23	3.09	772.55	678.42	0.76	5	e_15deg_R	e	15deg_R
0.53	258.61	2.06	598.81	836.77	0.94	14	e_15deg_R	e	15deg_R
1.11	252.45	2.42	545.09	717.72	0.94	9	e_15deg_R	e	15deg_R
0.83	282.96	1.82	234.82	629.53	0.90	6	e_15deg_R	e	15deg_R
1.12	254.12	1.28	441.65	1038.41	0.92	23	e_15deg_R	e	15deg_R
0.80	265.41	2.37	301.69	894.10	0.96	12	e_15deg_R	e	15deg_R
0.20	256.67	2.66	231.08	598.32	1.00	2	e_15deg_R	e	15deg_R
1.20	240.73	1.13	240.93	831.54	0.92	17	k_0deg	k	0deg
1.55	462.48	0.35	154.18	276.93	0.88	6	k_0deg	k	0deg
0.56	244.50	0.38	639.06	391.19	0.94	9	k_0deg	k	0deg
0.57	251.63	0.96	449.41	985.65	0.92	23	k_0deg	k	0deg
0.68	248.71	1.30	421.55	868.02	0.98	18	k_0deg	k	0deg
0.39	246.47	0.93	605.04	641.54	0.92	14	k_0deg	k	0deg
0.12	254.10	1.01	787.34	661.50	1.00	15	k_0deg	k	0deg
1.17	256.90	1.47	611.13	905.24	0.92	19	k_0deg	k	0deg
0.97	249.45	1.57	575.08	1077.63	0.98	24	k_0deg	k	0deg
0.18	247.29	1.41	742.88	882.84	0.98	20	k_0deg	k	0deg
0.75	277.13	1.02	687.82	335.80	0.98	4	k_0deg	k	0deg
0.63	260.09	1.67	452.12	440.84	0.98	3	k_0deg	k	0deg
0.37	262.41	1.15	308.00	1023.33	0.96	22	k_0deg	k	0deg
0.64	265.96	1.31	317.98	384.29	0.96	2	k_0deg	k	0deg
0.18	253.63	1.03	785.09	330.89	0.90	5	k_0deg	k	0deg
0.46	263.81	0.90	150.45	982.86	0.84	21	k_0deg	k	0deg
0.47	251.28	1.06	443.20	500.94	0.98	8	k_0deg	k	0deg
0.44	260.62	1.17	135.00	691.64	0.90	11	k_0deg	k	0deg
0.64	258.70	1.39	287.81	561.17	0.84	7	k_0deg	k	0deg
0.47	264.16	1.21	146.12	367.58	0.96	1	k_0deg	k	0deg
0.55	247.35	1.19	423.78	682.67	0.98	13	k_0deg	k	0deg
0.42	265.37	1.79	809.21	1131.38	0.96	25	k_0deg	k	0deg
0.38	274.20	0.67	174.81	777.52	0.96	16	k_0deg	k	0deg
0.37	280.95	0.89	361.60	646.08	0.96	12	k_0deg	k	0deg
0.89	260.69	1.95	780.79	653.83	0.84	10	k_0deg	k	0deg
0.31	239.17	0.36	635.62	552.02	0.94	14	k_5deg_L	k	5deg_L
1.30	251.04	1.90	230.70	1132.15	0.94	22	k_5deg_L	k	5deg_L
0.60	245.31	0.19	320.04	362.24	0.98	7	k_5deg_L	k	5deg_L
1.00	200.44	3.86	-436.13	1058.04	0.94	21	k_5deg_L	k	5deg_L
0.96	259.25	0.77	309.35	293.04	0.92	2	k_5deg_L	k	5deg_L
0.74	256.92	0.96	797.30	321.78	1.00	5	k_5deg_L	k	5deg_L
0.81	249.62	0.86	616.47	301.79	0.86	4	k_5deg_L	k	5deg_L
1.11	411.79	0.56	224.72	426.26	0.86	11	k_5deg_L	k	5deg_L
2.11	228.64	0.55	606.37	901.83	0.82	24	k_5deg_L	k	5deg_L
0.91	209.03	3.48	-7.19	948.19	0.96	18	k_5deg_L	k	5deg_L
1.36	474.10	0.51	298.44	421.98	0.82	12	k_5deg_L	k	5deg_L
0.76	288.63	0.53	861.37	416.48	0.92	10	k_5deg_L	k	5deg_L
0.22	287.10	1.00	215.86	326.56	0.86	1	k_5deg_L	k	5deg_L
0.78	292.66	0.57	536.91	421.76	0.90	8	k_5deg_L	k	5deg_L
0.90	205.89	1.81	395.98	798.02	0.92	19	k_5deg_L	k	5deg_L
1.43	197.62	3.37	-35.50	1003.41	0.92	23	k_5deg_L	k	5deg_L
0.67	203.12	0.65	733.09	709.47	0.86	20	k_5deg_L	k	5deg_L
0.76	327.60	3.92	717.77	1016.46	0.26	16	k_5deg_L	k	5deg_L
1.70	531.48	0.74	378.76	481.83	0.82	13	k_5deg_L	k	5deg_L
1.22	535.26	0.37	104.76	328.20	0.92	6	k_5deg_L	k	5deg_L
0.48	307.60	0.27	527.82	202.80	0.90	3	k_5deg_L	k	5deg_L
1.31	232.93	1.73	659.61	1063.31	0.98	25	k_5deg_L	k	5deg_L
1.77	211.92	1.16	502.66	435.50	0.76	9	k_5deg_L	k	5deg_L
2.89	252.44	2.68	198.65	1092.35	0.40	17	k_5deg_L	k	5deg_L
0.69	268.96	0.25	832.57	542.23	0.88	15	k_5deg_L	k	5deg_L
0.40	353.61	0.27	544.70	338.34	1.00	8	k_5deg_R	k	5deg_R
0.18	400.47	0.24	363.57	474.20	0.98	12	k_5deg_R	k	5deg_R
0.19	356.01	0.68	946.82	841.24	1.00	25	k_5deg_R	k	5deg_R
0.90	289.86	0.53	863.10	415.76	0.98	10	k_5deg_R	k	5deg_R
0.24	292.23	0.91	557.58	307.58	0.96	3	k_5deg_R	k	5deg_R
1.27	413.05	1.19	785.54	341.98	0.92	14	k_5deg_R	k	5deg_R
0.33	389.35	0.64	260.36	613.98	1.00	16	k_5deg_R	k	5deg_R
0.82	299.65	1.00	415.89	478.37	0.92	7	k_5deg_R	k	5deg_R
0.20	289.20	1.38	742.48	384.34	0.88	4	k_5deg_R	k	5deg_R
0.25	286.03	0.68	197.98	442.33	0.98	6	k_5deg_R	k	5deg_R
0.82	359.81	0.45	574.23	833.57	0.94	23	k_5deg_R	k	5deg_R
1.06	288.10	1.03	886.81	330.32	0.94	5	k_5deg_R	k	5deg_R
0.17	346.03	0.81	464.59	865.98	0.92	22	k_5deg_R	k	5deg_R
1.09	331.82	0.31	879.37	691.33	0.92	20	k_5deg_R	k	5deg_R
0.14	317.85	0.58	738.48	898.34	1.00	24	k_5deg_R	k	5deg_R
0.27	280.00	0.59	517.02	596.56	0.96	13	k_5deg_R	k	5deg_R
0.82	278.85	0.54	180.58	922.69	0.90	21	k_5deg_R	k	5deg_R
0.50	298.02	0.88	402.31	296.27	0.98	2	k_5deg_R	k	5deg_R
0.76	293.34	0.68	545.02	771.02	0.98	18	k_5deg_R	k	5deg_R
0.60	294.00	0.55	870.38	583.19	0.96	15	k_5deg_R	k	5deg_R
0.30	533.84	1.11	148.64	646.72	1.00	17	k_5deg_R	k	5deg_R
0.16	370.91	0.38	728.76	654.69	0.98	19	k_5deg_R	k	5deg_R
0.57	271.90	1.01	672.26	502.39	0.92	9	k_5deg_R	k	5deg_R
0.49	320.69	1.11	309.78	617.18	0.90	11	k_5deg_R	k	5deg_R
0.95	298.68	0.56	211.77	249.10	0.96	1	k_5deg_R	k	5deg_R
0.55	421.99	0.57	878.12	749.12	0.98	25	k_10deg_L	k	10deg_L
0.48	383.19	0.77	951.15	282.85	0.96	10	k_10deg_L	k	10deg_L
1.36	237.69	1.31	216.20	851.88	0.98	17	k_10deg_L	k	10deg_L
0.28	360.32	0.54	923.41	666.16	0.98	20	k_10deg_L	k	10deg_L
0.63	187.05	2.58	240.59	886.05	0.88	24	k_10deg_L	k	10deg_L
1.19	302.47	0.38	367.02	552.94	0.98	12	k_10deg_L	k	10deg_L
1.26	246.49	2.10	193.68	1154.30	0.88	22	k_10deg_L	k	10deg_L
0.73	327.98	0.70	932.90	562.27	0.98	15	k_10deg_L	k	10deg_L
1.82	235.52	2.84	-101.49	1057.18	0.98	16	k_10deg_L	k	10deg_L
0.36	355.99	0.29	715.46	170.08	0.96	4	k_10deg_L	k	10deg_L
1.02	357.38	0.58	763.82	337.78	0.98	9	k_10deg_L	k	10deg_L
0.29	401.11	0.44	721.47	452.17	0.94	14	k_10deg_L	k	10deg_L
0.70	293.79	0.58	538.96	588.39	0.98	13	k_10deg_L	k	10deg_L
